"","richness_forest","richness_generalist","richness_open","forest_intactness","forest_diversity","NDVI","grow_degd"
"1",8,3,1,0.998675,4.919934448,60.38135593,330
"2",1,2,8,NA,0,22.88135593,330
"3",5,3,7,0.127608333333333,39.42608096,11.86440678,330
"4",7,3,3,0.0163035714285714,13.23112497,19.06779661,330
"5",2,2,7,NA,0,2.118644068,330
"6",7,NA,1,1,60.60872576,54.02542373,170
"7",5,NA,0,1,51.25857849,51.05932203,170
"8",4,NA,2,0.966525,75.71486619,48.09322034,170
"9",4,NA,1,0.276941666666667,72.4294857,55.08474576,170
"10",5,NA,1,0.11321,88.02539814,73.09322034,170
"11",5,NA,0,0.080295,100,80.08474576,170
"12",15,4,0,1,41.57853954,100,290
"13",16,3,1,1,15.3738533,80.08474576,290
"14",15,7,3,0.0853916666666667,61.52195444,83.26271186,290
"15",13,8,3,0.0175125,54.86316127,61.44067797,290
"16",13,7,5,0.036065,26.60076321,84.11016949,290
"17",6,7,5,NA,0,52.75423729,290
"18",2,3,0,0.997775,51.68304703,58.68644068,250
"19",4,4,0,0.46765,34.08580691,74.57627119,250
"20",1,3,0,0.199191666666667,59.29074861,46.8220339,250
"21",1,3,0,0.069528125,63.76087967,29.02542373,250
"22",0,1,1,0.0447375,0,1.483050847,250
"23",0,2,2,0.014565,22.61248967,9.322033898,250
"24",5,4,0,0.866725,65.13180223,97.24576271,310
"25",5,4,0,0.89355,0,89.40677966,310
"26",5,3,0,0.23285,40.60828516,96.39830508,310
"27",6,4,2,0.377875,63.18207295,93.6440678,310
"28",3,5,2,0.01245,0,73.94067797,310
"29",10,4,5,0.4053875,9.958945099,16.52542373,350
"30",10,4,5,0.99985,23.67897845,20.33898305,350
"31",10,4,4,0.9517,12.95685573,20.12711864,350
"32",8,3,4,0.998375,35.59842718,17.37288136,350
"33",2,2,5,0.0021,0,0,350
"34",4,1,0,0.9054,33.31369178,48.30508475,160
"35",4,0,0,0.4654,80.47631419,40.46610169,160
"36",5,2,1,0.0356035714285714,93.54477984,60.80508475,160
"37",3,1,0,0.0274166666666667,65.76425628,56.77966102,160
"38",4,3,1,0.0351583333333333,79.28044241,52.75423729,160
"39",7,1,0,1,0,30.72033898,250
"40",8,0,0,0.88545,20.8540222,25.63559322,250
"41",10,1,0,0.649475,51.327882,31.99152542,250
"42",10,2,0,0.2491,51.72691372,30.29661017,250
"43",5,2,1,0.0247,57.7556709,23.30508475,250
"44",6,0,1,0.00525833333333333,40.56637365,40.25423729,250
"45",12,3,2,0.147641666666667,0,45.33898305,330
"46",9,3,1,0.998675,4.919934448,60.38135593,330
"47",3,3,10,NA,0,22.88135593,330
"48",7,3,8,0.127608333333333,39.42608096,11.86440678,330
"49",8,2,4,0.0163035714285714,13.23112497,19.06779661,330
"50",2,2,9,NA,0,2.118644068,330
"51",7,NA,0,1,60.60872576,54.02542373,170
"52",8,NA,1,1,51.25857849,51.05932203,170
"53",7,NA,0,0.966525,75.71486619,48.09322034,170
"54",7,NA,1,0.276941666666667,72.4294857,55.08474576,170
"55",7,NA,1,0.11321,88.02539814,73.09322034,170
"56",4,NA,2,0.080295,100,80.08474576,170
"57",16,4,0,1,41.57853954,100,290
"58",13,4,0,1,15.3738533,80.08474576,290
"59",20,6,2,0.0853916666666667,61.52195444,83.26271186,290
"60",16,6,3,0.0175125,54.86316127,61.44067797,290
"61",13,7,2,0.036065,26.60076321,84.11016949,290
"62",5,5,5,NA,0,52.75423729,290
"63",3,4,1,0.997775,51.68304703,58.68644068,250
"64",2,4,0,0.46765,34.08580691,74.57627119,250
"65",1,3,0,0.199191666666667,59.29074861,46.8220339,250
"66",3,4,0,0.069528125,63.76087967,29.02542373,250
"67",1,1,1,0.0447375,0,1.483050847,250
"68",1,2,2,0.014565,22.61248967,9.322033898,250
"69",7,5,1,0.866725,65.13180223,97.24576271,310
"70",7,5,0,0.89355,0,89.40677966,310
"71",7,4,1,0.23285,40.60828516,96.39830508,310
"72",7,5,1,0.377875,63.18207295,93.6440678,310
"73",7,5,1,NA,0,95.55084746,310
"74",7,7,3,0.01245,0,73.94067797,310
"75",10,4,4,0.4053875,9.958945099,16.52542373,350
"76",6,4,0,0.99985,23.67897845,20.33898305,350
"77",14,3,2,0.9517,12.95685573,20.12711864,350
"78",11,4,3,0.998725,18.93221811,22.24576271,350
"79",10,3,3,0.998375,35.59842718,17.37288136,350
"80",0,0,3,0.0021,0,0,350
"81",4,1,0,0.9054,33.31369178,48.30508475,160
"82",4,0,0,0.4654,80.47631419,40.46610169,160
"83",5,1,1,0.0356035714285714,93.54477984,60.80508475,160
"84",3,1,0,0.0274166666666667,65.76425628,56.77966102,160
"85",3,3,1,0.0351583333333333,79.28044241,52.75423729,160
"86",9,1,0,1,0,30.72033898,250
"87",9,0,0,0.88545,20.8540222,25.63559322,250
"88",11,1,0,0.649475,51.327882,31.99152542,250
"89",11,3,0,0.2491,51.72691372,30.29661017,250
"90",6,2,0,0.0247,57.7556709,23.30508475,250
"91",6,1,1,0.00525833333333333,40.56637365,40.25423729,250
