richness,type
81,tropical
95,tropical
103,tropical
91,tropical
101,tropical
96,tropical
51,tropical
95,tropical
105,tropical
103,tropical
97,tropical
104,tropical
67,tropical
65,tropical
78,tropical
50,tropical
77,tropical
49,tropical
94,subtropical
110,subtropical
62,subtropical
107,subtropical
94,subtropical
98,subtropical
68,subtropical
78,subtropical
37,subtropical
175,subtropical
89,subtropical
182,subtropical
181,subtropical
281,subtropical
141,subtropical
185,subtropical
465,subtropical
170,subtropical
497,subtropical
175,subtropical
544,subtropical
377,subtropical
232,subtropical
217,subtropical
279,subtropical
606,tropical
527,subtropical
363,subtropical
314,subtropical
144,subtropical
609,tropical
525,tropical
334,tropical
213,tropical
229,tropical
209,subtropical
366,tropical
308,subtropical
612,tropical
553,tropical
168,tropical
395,tropical
156,tropical
511,tropical
454,tropical
273,tropical
640,tropical
426,tropical
341,tropical
616,tropical
429,tropical
175,tropical
489,tropical
472,tropical
372,tropical
311,tropical
419,tropical
379,tropical
272,tropical
519,tropical
496,tropical
180,tropical
297,tropical
598,tropical
345,tropical
336,tropical
367,tropical
240,tropical
637,tropical
445,tropical
539,tropical
525,tropical
643,tropical
312,tropical
315,tropical
564,tropical
178,tropical
406,tropical
563,tropical
463,tropical
663,tropical
569,tropical
550,tropical
607,tropical
572,tropical
609,tropical
569,tropical
603,tropical
664,tropical
646,tropical
637,tropical
662,tropical
671,tropical
577,subtropical
441,subtropical
622,tropical
544,tropical
409,tropical
423,tropical
674,tropical
658,tropical
549,subtropical
211,tropical
493,tropical
498,tropical
590,tropical
466,subtropical
329,subtropical
435,tropical
533,tropical
504,tropical
580,tropical
432,tropical
640,tropical
560,tropical
674,tropical
224,subtropical
389,tropical
598,tropical
541,tropical
290,tropical
642,tropical
675,tropical
497,tropical
279,subtropical
516,tropical
659,tropical
606,tropical
265,tropical
287,tropical
627,tropical
538,tropical
638,tropical
350,tropical
624,tropical
679,tropical
680,tropical
365,tropical
546,tropical
310,tropical
613,tropical
673,tropical
339,tropical
225,tropical
198,tropical
666,tropical
609,tropical
594,tropical
386,tropical
142,tropical
210,tropical
616,tropical
677,tropical
393,tropical
435,tropical
613,tropical
656,tropical
235,tropical
158,tropical
594,tropical
678,tropical
669,tropical
568,tropical
313,tropical
679,tropical
676,tropical
660,tropical
618,tropical
193,tropical
557,tropical
625,tropical
651,tropical
508,tropical
378,tropical
191,tropical
575,tropical
663,tropical
415,tropical
251,tropical
679,tropical
669,tropical
676,tropical
528,tropical
689,tropical
350,tropical
360,tropical
412,tropical
531,tropical
447,tropical
48,tropical
30,tropical
71,tropical
31,tropical
81,tropical
57,tropical
79,tropical
